"filename","term","count_in_file"
"./studyguides/expectedvariance.qmd","Guide: Introduction to data analysis",1
"./studyguides/gaussianelimination.qmd","For an introduction on matrices, please see Guide: Introduction to Matrices.",1
"./studyguides/gaussianelimination.qmd","For an introduction systems of linear equations, please see Guide: Solving systems of linear equations.",1
"./studyguides/gaussianelimination.qmd","For examples of using Gaussian elimination, please see Guide: Applications of Gaussian elimination",1
"./studyguides/hypothesistesting.qmd","For more information on how to perform a -test, please see Guide: -testing.",1
"./studyguides/hypothesistesting.qmd","For more information on type I and type II errors please see Guide: Errors in hypothesis testing.",1
"./studyguides/hypothesistesting.qmd","Guide: Errors in hypothesis testing",1
"./studyguides/implicitdifferentiation.qmd","Guide: The differential operator and higher derivatives",1
"./studyguides/implicitdifferentiation.qmd","Proof sheet: Rules of differentiation.",1
"./studyguides/introto3dcoords.qmd","0,0,R*1.2",1
"./studyguides/introto3dcoords.qmd","0,R*1.4,0",1
"./studyguides/introto3dcoords.qmd","5, 5",1
"./studyguides/introto3dcoords.qmd","5,5",1
"./studyguides/introto3dcoords.qmd","ax, ay",1
"./studyguides/introto3dcoords.qmd","baseX, baseY",1
"./studyguides/introto3dcoords.qmd","originX + radius * Math.cos(angle), originY + radius * Math.sin(angle)",1
"./studyguides/introto3dcoords.qmd","OX + x - 0.4*y, OY - z + 0.25*y",1
"./studyguides/introto3dcoords.qmd","pointX, pointY",1
"./studyguides/introto3dcoords.qmd","px, py",1
"./studyguides/introto3dcoords.qmd","Px,Py,0",1
"./studyguides/introto3dcoords.qmd","R*1.3,0,0",1
"./studyguides/introto3dcoords.qmd","tx, ty",1
"./studyguides/introto3dcoords.qmd","x1,y1",1
"./studyguides/introto3dcoords.qmd","x2,y2",1
"./studyguides/introto3dcoords.qmd","ix, iy",2
"./studyguides/introto3dcoords.qmd","ox, oy",2
"./studyguides/introto3dcoords.qmd","Px,Py,Pz",2
"./studyguides/introto3dcoords.qmd","qx,qy",2
"./studyguides/introto3dcoords.qmd","xEndX, xEndY",2
"./studyguides/introto3dcoords.qmd","tx,ty",3
"./studyguides/introto3dcoords.qmd","0,0,0",4
"./studyguides/introto3dcoords.qmd","px,py",10
"./studyguides/introtodifferentiation.qmd","(0.5,1.25), (0.5+h,h^2 + h +1.25)",1
"./studyguides/introtodifferentiation.qmd","Guide: Properties of functions",1
"./studyguides/introtodifferentiation.qmd","Proof sheet: Derivatives of other common functions",1
"./studyguides/introtodifferentiation.qmd","Guide: Introduction to partial differentiation",2
"./studyguides/introtodifferentiation.qmd","Guide: Tangents",2
"./studyguides/introtodifferentiation.qmd","Guide: The differential operator and higher derivatives",3
"./studyguides/introtointegration.qmd","Guide: Definite integrals",1
"./studyguides/introtointegration.qmd","Guide: Integration by parts",1
"./studyguides/introtointegration.qmd","Guide: Integration by substitution",1
"./studyguides/introtointegration.qmd","Guide: Properties of integration",1
"./studyguides/introtointegration.qmd","Guide: Trigonometry and integration",1
"./studyguides/introtointegration.qmd","Proof sheet: Definite integrals",1
"./studyguides/introtointegration.qmd","Proof sheet: Fundamental Theorem of Calculus",1
"./studyguides/introtointegration.qmd","Proof sheet: The Fundamental Theorem of Calculus",1
"./studyguides/introtomatrices.qmd","Guide: Transposing matrices",1
"./studyguides/introtopartialdifferentiation.qmd","Guide: Introduction to continuity",1
